date,location,new_cases,new_deaths,total_cases,total_deaths,total_survivors
2020-03-20,RO,1,0,1,0,0
2020-03-21,RO,0,0,1,0,0
2020-03-22,RO,2,0,3,0,0
2020-03-23,RO,0,0,3,0,0
2020-03-24,RO,0,0,3,0,0
2020-03-25,RO,2,0,5,0,0
2020-03-26,RO,0,0,5,0,0
2020-03-27,RO,1,0,6,0,0
2020-03-28,RO,0,0,6,0,0
2020-03-29,RO,0,0,6,0,0
2020-03-30,RO,0,0,6,0,0
2020-03-31,RO,2,1,8,1,0
2020-04-01,RO,1,0,9,1,0
2020-04-02,RO,1,0,10,1,0
2020-04-03,RO,0,0,10,1,0
2020-04-04,RO,1,0,11,1,0
2020-04-05,RO,1,0,12,1,0
2020-04-06,RO,2,0,14,1,0
2020-04-07,RO,4,0,18,1,0
2020-04-08,RO,0,0,18,1,0
2020-04-09,RO,10,1,28,2,8
2020-04-10,RO,4,0,32,2,8
2020-04-11,RO,1,0,33,2,13
2020-04-12,RO,2,0,35,2,14
2020-04-13,RO,7,0,42,2,14
2020-04-14,RO,22,0,64,2,14
2020-04-15,RO,5,0,69,2,16
2020-04-16,RO,7,1,76,3,16
2020-04-17,RO,16,0,92,3,28
2020-04-18,RO,18,0,110,3,28
2020-04-19,RO,18,1,128,4,28
2020-04-20,RO,32,0,160,4,34
2020-04-21,RO,39,0,199,4,40
2020-04-22,RO,24,1,223,5,40
2020-04-23,RO,27,0,250,5,55
2020-04-24,RO,40,0,290,5,60
2020-04-25,RO,38,2,328,7,67
2020-04-26,RO,36,3,364,10,72
2020-04-27,RO,29,0,393,10,100
2020-04-28,RO,20,1,413,11,107
2020-04-29,RO,20,4,433,15,115
2020-04-30,RO,69,1,502,16,120
2020-05-01,RO,83,2,585,18,130
2020-05-02,RO,68,5,653,23,154
2020-05-03,RO,52,1,705,24,141
2020-05-04,RO,51,1,756,25,141
2020-05-05,RO,105,4,861,29,156
2020-01-30,AC,0,0,0,0,0
2020-01-31,AC,0,0,0,0,0
2020-02-01,AC,0,0,0,0,0
2020-02-02,AC,0,0,0,0,0
2020-02-03,AC,0,0,0,0,0
2020-02-04,AC,0,0,0,0,0
2020-02-05,AC,0,0,0,0,0
2020-02-06,AC,0,0,0,0,0
2020-02-07,AC,0,0,0,0,0
2020-02-08,AC,0,0,0,0,0
2020-02-09,AC,0,0,0,0,0
2020-02-10,AC,0,0,0,0,0
2020-02-11,AC,0,0,0,0,0
2020-02-12,AC,0,0,0,0,0
2020-02-13,AC,0,0,0,0,0
2020-02-14,AC,0,0,0,0,0
2020-02-15,AC,0,0,0,0,0
2020-02-16,AC,0,0,0,0,0
2020-02-17,AC,0,0,0,0,0
2020-02-18,AC,0,0,0,0,0
2020-02-19,AC,0,0,0,0,0
2020-02-20,AC,0,0,0,0,0
2020-02-21,AC,0,0,0,0,0
2020-02-22,AC,0,0,0,0,0
2020-02-23,AC,0,0,0,0,0
2020-02-24,AC,0,0,0,0,0
2020-02-25,AC,0,0,0,0,0
2020-02-26,AC,0,0,0,0,0
2020-02-27,AC,0,0,0,0,0
2020-02-28,AC,0,0,0,0,0
2020-02-29,AC,0,0,0,0,0
2020-03-01,AC,0,0,0,0,0
2020-03-02,AC,0,0,0,0,0
2020-03-03,AC,0,0,0,0,0
2020-03-04,AC,0,0,0,0,0
2020-03-05,AC,0,0,0,0,0
2020-03-06,AC,0,0,0,0,0
2020-03-07,AC,0,0,0,0,0
2020-03-08,AC,0,0,0,0,0
2020-03-09,AC,0,0,0,0,0
2020-03-10,AC,0,0,0,0,0
2020-03-11,AC,0,0,0,0,0
2020-03-12,AC,0,0,0,0,0
2020-03-13,AC,0,0,0,0,0
2020-03-14,AC,0,0,0,0,0
2020-03-15,AC,0,0,0,0,0
2020-03-16,AC,0,0,0,0,0
2020-03-17,AC,0,0,0,0,0
2020-03-18,AC,0,0,0,0,0
2020-03-19,AC,3,0,3,0,0
2020-03-20,AC,4,0,7,0,0
2020-03-21,AC,2,0,9,0,0
2020-03-22,AC,2,0,11,0,0
2020-03-23,AC,0,0,11,0,0
2020-03-24,AC,6,0,17,0,0
2020-03-25,AC,6,0,23,0,0
2020-03-26,AC,1,0,24,0,0
2020-03-27,AC,1,0,25,0,0
2020-03-28,AC,0,0,25,0,0
2020-03-29,AC,9,0,34,0,0
2020-03-30,AC,8,0,42,0,0
2020-03-31,AC,0,0,42,0,0
2020-04-01,AC,1,0,43,0,0
2020-04-02,AC,0,0,43,0,0
2020-04-03,AC,3,0,46,0,0
2020-04-04,AC,0,0,46,0,0
2020-04-05,AC,2,0,48,0,0
2020-04-06,AC,2,0,50,0,0
2020-04-07,AC,0,1,50,1,0
2020-04-08,AC,4,1,54,2,0
2020-04-09,AC,8,0,62,2,39
2020-04-10,AC,8,0,70,2,39
2020-04-11,AC,2,0,72,2,41
2020-04-12,AC,5,0,77,2,42
2020-04-13,AC,13,1,90,3,42
2020-04-14,AC,9,0,99,3,48
2020-04-15,AC,2,0,101,3,48
2020-04-16,AC,9,2,110,5,48
2020-04-17,AC,25,0,135,5,55
2020-04-18,AC,7,0,142,5,55
2020-04-19,AC,21,1,163,6,58
2020-04-20,AC,13,2,176,8,58
2020-04-21,AC,19,0,195,8,64
2020-04-22,AC,19,0,214,8,74
2020-04-23,AC,13,2,227,10,78
2020-04-24,AC,7,1,234,11,88
2020-04-25,AC,24,0,258,11,93
2020-04-26,AC,21,0,279,11,99
2020-04-27,AC,0,3,279,14,105
2020-04-28,AC,32,2,311,16,114
2020-04-29,AC,43,1,354,17,114
2020-04-30,AC,50,2,404,19,141
2020-05-01,AC,82,0,486,19,161
2020-05-02,AC,67,3,553,22,161
2020-05-03,AC,104,3,657,24,161
2020-05-04,AC,76,4,733,28,189
2020-05-05,AC,84,1,817,29,233
2020-01-30,AL,0,0,0,0,0
2020-01-31,AL,0,0,0,0,0
2020-02-01,AL,0,0,0,0,0
2020-02-02,AL,0,0,0,0,0
2020-02-03,AL,0,0,0,0,0
2020-02-04,AL,0,0,0,0,0
2020-02-05,AL,0,0,0,0,0
2020-02-06,AL,0,0,0,0,0
2020-02-07,AL,0,0,0,0,0
2020-02-08,AL,0,0,0,0,0
2020-02-09,AL,0,0,0,0,0
2020-02-10,AL,0,0,0,0,0
2020-02-11,AL,0,0,0,0,0
2020-02-12,AL,0,0,0,0,0
2020-02-13,AL,0,0,0,0,0
2020-02-14,AL,0,0,0,0,0
2020-02-15,AL,0,0,0,0,0
2020-02-16,AL,0,0,0,0,0
2020-02-17,AL,0,0,0,0,0
2020-02-18,AL,0,0,0,0,0
2020-02-19,AL,0,0,0,0,0
2020-02-20,AL,0,0,0,0,0
2020-02-21,AL,0,0,0,0,0
2020-02-22,AL,0,0,0,0,0
2020-02-23,AL,0,0,0,0,0
2020-02-24,AL,0,0,0,0,0
2020-02-25,AL,0,0,0,0,0
2020-02-26,AL,0,0,0,0,0
2020-02-27,AL,0,0,0,0,0
2020-02-28,AL,0,0,0,0,0
2020-02-29,AL,0,0,0,0,0
2020-03-01,AL,0,0,0,0,0
2020-03-02,AL,0,0,0,0,0
2020-03-03,AL,0,0,0,0,0
2020-03-04,AL,0,0,0,0,0
2020-03-05,AL,0,0,0,0,0
2020-03-06,AL,0,0,0,0,0
2020-03-07,AL,0,0,0,0,0
2020-03-08,AL,1,0,1,0,0
2020-03-09,AL,0,0,1,0,0
2020-03-10,AL,0,0,1,0,0
2020-03-11,AL,0,0,1,0,0
2020-03-12,AL,0,0,1,0,0
2020-03-13,AL,0,0,1,0,0
2020-03-14,AL,0,0,1,0,0
2020-03-15,AL,0,0,1,0,0
2020-03-16,AL,0,0,1,0,0
2020-03-17,AL,0,0,1,0,0
2020-03-18,AL,0,0,1,0,0
2020-03-19,AL,3,0,4,0,0
2020-03-20,AL,1,0,5,0,0
2020-03-21,AL,2,0,7,0,0
2020-03-22,AL,0,0,7,0,0
2020-03-23,AL,0,0,7,0,0
2020-03-24,AL,2,0,9,0,0
2020-03-25,AL,2,0,11,0,0
2020-03-26,AL,0,0,11,0,0
2020-03-27,AL,0,0,11,0,0
2020-03-28,AL,3,0,14,0,0
2020-03-29,AL,3,0,17,0,0
2020-03-30,AL,0,0,17,0,0
2020-03-31,AL,1,1,18,1,0
2020-04-01,AL,0,0,18,1,0
2020-04-02,AL,0,0,18,1,0
2020-04-03,AL,4,1,22,2,0
2020-04-04,AL,1,0,23,2,0
2020-04-05,AL,5,0,28,2,0
2020-04-06,AL,3,0,31,2,0
2020-04-07,AL,1,0,32,2,0
2020-04-08,AL,5,0,37,2,0
2020-04-09,AL,0,1,37,3,11
2020-04-10,AL,8,0,45,3,11
2020-04-11,AL,3,0,48,3,14
2020-04-12,AL,0,0,48,3,14
2020-04-13,AL,2,0,50,3,14
2020-04-14,AL,22,1,72,4,16
2020-04-15,AL,10,1,82,5,24
2020-04-16,AL,7,0,89,5,24
2020-04-17,AL,21,2,110,7,26
2020-04-18,AL,22,0,132,7,27
2020-04-19,AL,27,8,159,15,30
2020-04-20,AL,12,3,171,18,58
2020-04-21,AL,39,1,210,19,73
2020-04-22,AL,33,1,243,20,74
2020-04-23,AL,81,2,324,22,75
2020-04-24,AL,89,5,413,27,78
2020-04-25,AL,88,2,501,29,87
2020-04-26,AL,53,3,554,32,90
2020-04-27,AL,89,2,643,34,94
2020-04-28,AL,134,2,777,36,107
2020-04-29,AL,180,5,957,41,107
2020-04-30,AL,87,6,1044,47,238
2020-05-01,AL,182,6,1226,53,239
2020-05-02,AL,146,5,1372,58,239
2020-05-03,AL,69,6,1441,64,292
2020-05-04,AL,97,8,1538,72,356
2020-05-05,AL,68,8,1606,80,356
2020-01-30,AM,0,0,0,0,0
2020-01-31,AM,0,0,0,0,0
2020-02-01,AM,0,0,0,0,0
2020-02-02,AM,0,0,0,0,0
2020-02-03,AM,0,0,0,0,0
2020-02-04,AM,0,0,0,0,0
2020-02-05,AM,0,0,0,0,0
2020-02-06,AM,0,0,0,0,0
2020-02-07,AM,0,0,0,0,0
2020-02-08,AM,0,0,0,0,0
2020-02-09,AM,0,0,0,0,0
2020-02-10,AM,0,0,0,0,0
2020-02-11,AM,0,0,0,0,0
2020-02-12,AM,0,0,0,0,0
2020-02-13,AM,0,0,0,0,0
2020-02-14,AM,0,0,0,0,0
2020-02-15,AM,0,0,0,0,0
2020-02-16,AM,0,0,0,0,0
2020-02-17,AM,0,0,0,0,0
2020-02-18,AM,0,0,0,0,0
2020-02-19,AM,0,0,0,0,0
2020-02-20,AM,0,0,0,0,0
2020-02-21,AM,0,0,0,0,0
2020-02-22,AM,0,0,0,0,0
2020-02-23,AM,0,0,0,0,0
2020-02-24,AM,0,0,0,0,0
2020-02-25,AM,0,0,0,0,0
2020-02-26,AM,0,0,0,0,0
2020-02-27,AM,0,0,0,0,0
2020-02-28,AM,0,0,0,0,0
2020-02-29,AM,0,0,0,0,0
2020-03-01,AM,0,0,0,0,0
2020-03-02,AM,0,0,0,0,0
2020-03-03,AM,0,0,0,0,0
2020-03-04,AM,0,0,0,0,0
2020-03-05,AM,0,0,0,0,0
2020-03-06,AM,0,0,0,0,0
2020-03-07,AM,0,0,0,0,0
2020-03-08,AM,0,0,0,0,0
2020-03-09,AM,0,0,0,0,0
2020-03-10,AM,0,0,0,0,0
2020-03-11,AM,0,0,0,0,0
2020-03-12,AM,0,0,0,0,0
2020-03-13,AM,0,0,0,0,0
2020-03-14,AM,0,0,0,0,0
2020-03-15,AM,1,0,1,0,0
2020-03-16,AM,0,0,1,0,0
2020-03-17,AM,0,0,1,0,0
2020-03-18,AM,0,0,1,0,0
2020-03-19,AM,2,0,3,0,0
2020-03-20,AM,0,0,3,0,0
2020-03-21,AM,8,0,11,0,0
2020-03-22,AM,15,0,26,0,0
2020-03-23,AM,6,0,32,0,0
2020-03-24,AM,15,0,47,0,0
2020-03-25,AM,7,1,54,1,0
2020-03-26,AM,13,0,67,1,0
2020-03-27,AM,14,0,81,1,0
2020-03-28,AM,30,0,111,1,0
2020-03-29,AM,29,0,140,1,0
2020-03-30,AM,11,0,151,1,0
2020-03-31,AM,24,2,175,3,0
2020-04-01,AM,25,0,200,3,0
2020-04-02,AM,29,0,229,3,0
2020-04-03,AM,31,4,260,7,0
2020-04-04,AM,51,5,311,12,0
2020-04-05,AM,106,2,417,14,0
2020-04-06,AM,115,5,532,19,0
2020-04-07,AM,104,4,636,23,0
2020-04-08,AM,168,7,804,30,0
2020-04-09,AM,95,10,899,40,44
2020-04-10,AM,82,10,981,50,44
2020-04-11,AM,69,3,1050,53,44
2020-04-12,AM,156,9,1206,62,138
2020-04-13,AM,69,9,1275,71,147
2020-04-14,AM,209,19,1484,90,171
2020-04-15,AM,70,16,1554,106,190
2020-04-16,AM,165,18,1719,124,221
2020-04-17,AM,90,21,1809,145,386
2020-04-18,AM,88,16,1897,161,432
2020-04-19,AM,147,21,2044,182,532
2020-04-20,AM,116,3,2160,185,635
2020-04-21,AM,110,8,2270,193,726
2020-04-22,AM,209,14,2479,207,879
2020-04-23,AM,409,27,2888,234,961
2020-04-24,AM,306,21,3194,255,1037
2020-04-25,AM,441,32,3635,287,1089
2020-04-26,AM,198,17,3833,304,1220
2020-04-27,AM,95,16,3928,320,1272
2020-04-28,AM,409,31,4337,351,1456
2020-04-29,AM,464,29,4801,380,1487
2020-04-30,AM,453,45,5254,425,1639
2020-05-01,AM,469,51,5723,476,1708
2020-05-02,AM,339,25,6062,501,1770
2020-05-03,AM,621,47,6683,548,1901
2020-05-04,AM,559,36,7242,584,2000
2020-05-05,AM,867,65,8109,649,2097
2020-01-30,AP,0,0,0,0,0
2020-01-31,AP,0,0,0,0,0
2020-02-01,AP,0,0,0,0,0
2020-02-02,AP,0,0,0,0,0
2020-02-03,AP,0,0,0,0,0
2020-02-04,AP,0,0,0,0,0
2020-02-05,AP,0,0,0,0,0
2020-02-06,AP,0,0,0,0,0
2020-02-07,AP,0,0,0,0,0
2020-02-08,AP,0,0,0,0,0
2020-02-09,AP,0,0,0,0,0
2020-02-10,AP,0,0,0,0,0
2020-02-11,AP,0,0,0,0,0
2020-02-12,AP,0,0,0,0,0
2020-02-13,AP,0,0,0,0,0
2020-02-14,AP,0,0,0,0,0
2020-02-15,AP,0,0,0,0,0
2020-02-16,AP,0,0,0,0,0
2020-02-17,AP,0,0,0,0,0
2020-02-18,AP,0,0,0,0,0
2020-02-19,AP,0,0,0,0,0
2020-02-20,AP,0,0,0,0,0
2020-02-21,AP,0,0,0,0,0
2020-02-22,AP,0,0,0,0,0
2020-02-23,AP,0,0,0,0,0
2020-02-24,AP,0,0,0,0,0
2020-02-25,AP,0,0,0,0,0
2020-02-26,AP,0,0,0,0,0
2020-02-27,AP,0,0,0,0,0
2020-02-28,AP,0,0,0,0,0
2020-02-29,AP,0,0,0,0,0
2020-03-01,AP,0,0,0,0,0
2020-03-02,AP,0,0,0,0,0
2020-03-03,AP,0,0,0,0,0
2020-03-04,AP,0,0,0,0,0
2020-03-05,AP,0,0,0,0,0
2020-03-06,AP,0,0,0,0,0
2020-03-07,AP,0,0,0,0,0
2020-03-08,AP,0,0,0,0,0
2020-03-09,AP,0,0,0,0,0
2020-03-10,AP,0,0,0,0,0
2020-03-11,AP,0,0,0,0,0
2020-03-12,AP,0,0,0,0,0
2020-03-13,AP,0,0,0,0,0
2020-03-14,AP,0,0,0,0,0
2020-03-15,AP,0,0,0,0,0
2020-03-16,AP,0,0,0,0,0
2020-03-17,AP,0,0,0,0,0
2020-03-18,AP,0,0,0,0,0
2020-03-19,AP,0,0,0,0,0
2020-03-20,AP,1,0,1,0,0
2020-03-21,AP,0,0,1,0,0
2020-03-22,AP,0,0,1,0,0
2020-03-23,AP,0,0,1,0,0
2020-03-24,AP,0,0,1,0,0
2020-03-25,AP,0,0,1,0,0
2020-03-26,AP,1,0,2,0,0
2020-03-27,AP,0,0,2,0,0
2020-03-28,AP,2,0,4,0,0
2020-03-29,AP,0,0,4,0,0
2020-03-30,AP,4,0,8,0,0
2020-03-31,AP,2,0,10,0,0
2020-04-01,AP,1,0,11,0,0
2020-04-02,AP,0,0,11,0,0
2020-04-03,AP,8,0,19,0,0
2020-04-04,AP,9,1,28,1,0
2020-04-05,AP,1,1,29,2,0
2020-04-06,AP,5,0,34,2,0
2020-04-07,AP,14,0,48,2,0
2020-04-08,AP,59,0,107,2,0
2020-04-09,AP,21,0,128,2,51
2020-04-10,AP,38,0,166,2,55
2020-04-11,AP,27,1,193,3,83
2020-04-12,AP,37,2,230,5,92
2020-04-13,AP,12,0,242,5,99
2020-04-14,AP,65,1,307,6,133
2020-04-15,AP,27,1,334,7,145
2020-04-16,AP,28,2,362,9,161
2020-04-17,AP,8,1,370,10,166
2020-04-18,AP,23,0,393,10,179
2020-04-19,AP,23,1,416,11,189
2020-04-20,AP,17,2,433,13,206
2020-04-21,AP,24,0,457,13,222
2020-04-22,AP,22,1,479,14,235
2020-04-23,AP,69,2,548,16,258
2020-04-24,AP,85,2,633,18,272
2020-04-25,AP,52,1,685,19,285
2020-04-26,AP,113,2,798,21,306
2020-04-27,AP,44,5,842,26,355
2020-04-28,AP,76,2,918,28,419
2020-04-29,AP,98,3,1016,31,471
2020-04-30,AP,64,3,1080,34,475
2020-05-01,AP,41,3,1121,37,488
2020-05-02,AP,66,3,1187,40,507
2020-05-03,AP,295,3,1482,43,521
2020-05-04,AP,251,6,1733,49,531
2020-05-05,AP,198,6,1931,55,557
2020-01-30,BA,0,0,0,0,0
2020-01-31,BA,0,0,0,0,0
2020-02-01,BA,0,0,0,0,0
2020-02-02,BA,0,0,0,0,0
2020-02-03,BA,0,0,0,0,0
2020-02-04,BA,0,0,0,0,0
2020-02-05,BA,0,0,0,0,0
2020-02-06,BA,0,0,0,0,0
2020-02-07,BA,0,0,0,0,0
2020-02-08,BA,0,0,0,0,0
2020-02-09,BA,0,0,0,0,0
2020-02-10,BA,0,0,0,0,0
2020-02-11,BA,0,0,0,0,0
2020-02-12,BA,0,0,0,0,0
2020-02-13,BA,0,0,0,0,0
2020-02-14,BA,0,0,0,0,0
2020-02-15,BA,0,0,0,0,0
2020-02-16,BA,0,0,0,0,0
2020-02-17,BA,0,0,0,0,0
2020-02-18,BA,0,0,0,0,0
2020-02-19,BA,0,0,0,0,0
2020-02-20,BA,0,0,0,0,0
2020-02-21,BA,0,0,0,0,0
2020-02-22,BA,0,0,0,0,0
2020-02-23,BA,0,0,0,0,0
2020-02-24,BA,0,0,0,0,0
2020-02-25,BA,0,0,0,0,0
2020-02-26,BA,0,0,0,0,0
2020-02-27,BA,0,0,0,0,0
2020-02-28,BA,0,0,0,0,0
2020-02-29,BA,0,0,0,0,0
2020-03-01,BA,0,0,0,0,0
2020-03-02,BA,0,0,0,0,0
2020-03-03,BA,0,0,0,0,0
2020-03-04,BA,0,0,0,0,0
2020-03-05,BA,0,0,0,0,0
2020-03-06,BA,1,0,1,0,0
2020-03-07,BA,1,0,2,0,0
2020-03-08,BA,0,0,2,0,0
2020-03-09,BA,0,0,2,0,0
2020-03-10,BA,0,0,2,0,0
2020-03-11,BA,0,0,2,0,0
2020-03-12,BA,0,0,2,0,0
2020-03-13,BA,0,0,2,0,0
2020-03-14,BA,0,0,2,0,0
2020-03-15,BA,0,0,2,0,0
2020-03-16,BA,0,0,2,0,0
2020-03-17,BA,1,0,3,0,0
2020-03-18,BA,0,0,3,0,0
2020-03-19,BA,27,0,30,0,0
2020-03-20,BA,3,0,33,0,0
2020-03-21,BA,8,0,41,0,0
2020-03-22,BA,8,0,49,0,0
2020-03-23,BA,14,0,63,0,0
2020-03-24,BA,13,0,76,0,0
2020-03-25,BA,8,0,84,0,0
2020-03-26,BA,20,0,104,0,0
2020-03-27,BA,11,0,115,0,0
2020-03-28,BA,12,0,127,0,0
2020-03-29,BA,27,1,154,1,0
2020-03-30,BA,22,0,176,1,0
2020-03-31,BA,37,1,213,2,0
2020-04-01,BA,33,0,246,2,0
2020-04-02,BA,21,1,267,3,0
2020-04-03,BA,15,2,282,5,0
2020-04-04,BA,50,2,332,7,0
2020-04-05,BA,69,2,401,9,0
2020-04-06,BA,30,1,431,10,0
2020-04-07,BA,25,2,456,12,0
2020-04-08,BA,41,3,497,15,0
2020-04-09,BA,62,4,559,19,146
2020-04-10,BA,45,0,604,19,146
2020-04-11,BA,31,2,635,21,146
2020-04-12,BA,38,0,673,21,148
2020-04-13,BA,50,1,723,22,164
2020-04-14,BA,36,0,759,22,191
2020-04-15,BA,48,5,807,27,218
2020-04-16,BA,144,3,951,30,253
2020-04-17,BA,108,6,1059,36,273
2020-04-18,BA,134,1,1193,37,304
2020-04-19,BA,37,8,1230,45,321
2020-04-20,BA,111,1,1341,46,351
2020-04-21,BA,148,1,1489,47,376
2020-04-22,BA,155,3,1644,50,405
2020-04-23,BA,145,9,1789,59,428
2020-04-24,BA,173,5,1962,64,452
2020-04-25,BA,119,6,2081,70,454
2020-04-26,BA,128,3,2209,73,473
2020-04-27,BA,145,3,2354,76,501
2020-04-28,BA,186,10,2540,86,522
2020-04-29,BA,106,10,2646,96,564
2020-04-30,BA,205,8,2851,104,582
2020-05-01,BA,234,13,3085,117,689
2020-05-02,BA,230,6,3315,123,689
2020-05-03,BA,228,0,3495,123,754
2020-05-04,BA,239,18,3734,141,754
2020-05-05,BA,306,5,4040,146,862
2020-01-30,CE,0,0,0,0,0
2020-01-31,CE,0,0,0,0,0
2020-02-01,CE,0,0,0,0,0
2020-02-02,CE,0,0,0,0,0
2020-02-03,CE,0,0,0,0,0
2020-02-04,CE,0,0,0,0,0
2020-02-05,CE,0,0,0,0,0
2020-02-06,CE,0,0,0,0,0
2020-02-07,CE,0,0,0,0,0
2020-02-08,CE,0,0,0,0,0
2020-02-09,CE,0,0,0,0,0
2020-02-10,CE,0,0,0,0,0
2020-02-11,CE,0,0,0,0,0
2020-02-12,CE,0,0,0,0,0
2020-02-13,CE,0,0,0,0,0
2020-02-14,CE,0,0,0,0,0
2020-02-15,CE,0,0,0,0,0
2020-02-16,CE,0,0,0,0,0
2020-02-17,CE,0,0,0,0,0
2020-02-18,CE,0,0,0,0,0
2020-02-19,CE,0,0,0,0,0
2020-02-20,CE,0,0,0,0,0
2020-02-21,CE,0,0,0,0,0
2020-02-22,CE,0,0,0,0,0
2020-02-23,CE,0,0,0,0,0
2020-02-24,CE,0,0,0,0,0
2020-02-25,CE,0,0,0,0,0
2020-02-26,CE,0,0,0,0,0
2020-02-27,CE,0,0,0,0,0
2020-02-28,CE,0,0,0,0,0
2020-02-29,CE,0,0,0,0,0
2020-03-01,CE,0,0,0,0,0
2020-03-02,CE,0,0,0,0,0
2020-03-03,CE,0,0,0,0,0
2020-03-04,CE,0,0,0,0,0
2020-03-05,CE,0,0,0,0,0
2020-03-06,CE,0,0,0,0,0
2020-03-07,CE,0,0,0,0,0
2020-03-08,CE,0,0,0,0,0
2020-03-09,CE,0,0,0,0,0
2020-03-10,CE,0,0,0,0,0
2020-03-11,CE,0,0,0,0,0
2020-03-12,CE,0,0,0,0,0
2020-03-13,CE,0,0,0,0,0
2020-03-14,CE,0,0,0,0,0
2020-03-15,CE,0,0,0,0,0
2020-03-16,CE,0,0,0,0,0
2020-03-17,CE,5,0,5,0,0
2020-03-18,CE,4,0,9,0,0
2020-03-19,CE,11,0,20,0,0
2020-03-20,CE,35,0,55,0,0
2020-03-21,CE,13,0,68,0,0
2020-03-22,CE,44,0,112,0,0
2020-03-23,CE,51,0,163,0,0
2020-03-24,CE,19,0,182,0,0
2020-03-25,CE,18,0,200,0,0
2020-03-26,CE,35,3,235,3,0
2020-03-27,CE,47,0,282,3,0
2020-03-28,CE,32,1,314,4,0
2020-03-29,CE,34,1,348,5,0
2020-03-30,CE,24,0,372,5,0
2020-03-31,CE,18,2,390,7,0
2020-04-01,CE,54,1,444,8,0
2020-04-02,CE,106,12,550,20,0
2020-04-03,CE,77,2,627,22,0
2020-04-04,CE,103,0,730,22,0
2020-04-05,CE,93,4,823,26,0
2020-04-06,CE,190,3,1013,29,0
2020-04-07,CE,38,2,1051,31,0
2020-04-08,CE,240,12,1291,43,0
2020-04-09,CE,134,12,1425,55,143
2020-04-10,CE,53,3,1478,58,39
2020-04-11,CE,104,9,1582,67,92
2020-04-12,CE,94,7,1676,74,92
2020-04-13,CE,124,17,1800,91,92
2020-04-14,CE,205,16,2005,107,92
2020-04-15,CE,152,9,2157,116,92
2020-04-16,CE,229,8,2386,124,92
2020-04-17,CE,298,25,2684,149,92
2020-04-18,CE,350,27,3034,176,92
2020-04-19,CE,218,10,3252,186,92
2020-04-20,CE,230,12,3482,198,92
2020-04-21,CE,234,17,3716,215,267
2020-04-22,CE,194,18,3910,233,267
2020-04-23,CE,688,33,4598,266,267
2020-04-24,CE,202,18,4800,284,267
2020-04-25,CE,621,26,5421,310,267
2020-04-26,CE,412,17,5833,327,267
2020-04-27,CE,893,63,6726,390,267
2020-04-28,CE,192,13,6918,403,267
2020-04-29,CE,349,38,7267,441,267
2020-04-30,CE,339,41,7606,482,269
2020-05-01,CE,273,23,7879,505,1192
2020-05-02,CE,430,133,8309,638,1193
2020-05-03,CE,139,49,8370,663,1192
2020-05-04,CE,2670,49,11040,712,1249
2020-05-05,CE,430,83,11470,795,1510
2020-01-30,DF,0,0,0,0,0
2020-01-31,DF,0,0,0,0,0
2020-02-01,DF,0,0,0,0,0
2020-02-02,DF,0,0,0,0,0
2020-02-03,DF,0,0,0,0,0
2020-02-04,DF,0,0,0,0,0
2020-02-05,DF,0,0,0,0,0
2020-02-06,DF,0,0,0,0,0
2020-02-07,DF,0,0,0,0,0
2020-02-08,DF,0,0,0,0,0
2020-02-09,DF,0,0,0,0,0
2020-02-10,DF,0,0,0,0,0
